Instância;Tempo(ms);Solução
1;3;b4 c2 a3 b1 d2 f1 g3 h1 f2 d1 c3 b5 c7
2;231;b7 c8 g4 b4 a4 a3 a1 a2 b3 c4 d5 c5 d6 c7 e7
3;20;e8 a8 b7 c6 d6 e7 f8 h7 g8 f7 c7 c1 d2 d3 f1 g2 f3
4;8760;h3 g4 f3 b3 c4 e6 f6 a1 a5 b5 d6 b7 c7 d8 g8 f8 e7 d7 f7
5;3283;g2 f4 e2 d4 f3 h2 g3 g4 f5 c5 c4 b4 b2 b1 a2 a3 b4 a5 a6 c8 d7 e6 d6 c7 b7 a6 a5 b4 a4 b4 c3 d3 c3 b4 b5 b6 c6 d6 e5 f5 g4 g3 g2 h4 g6 f8 g7 h7 h5
6;8761;a4 a3 a5 b5 b6 b7 c8 d8 c7 c6 c5 b4 c3 d4 e5 h2 h3 f3 e2 d1 c2 b3 c4 d5 e6 f7
7;8645;e3 f4 e5 d6 f8 f7 e8 d8 c7 b8 a8 b7 c6 b5 b4 a4 b3 b1 c1 e1 d2 c3 d3 f5 g6 g4 g3 g2 h2
8;8686;g7 g8 h8 h7 g6 f5 e6 e5 e4 d4 c4 c3 c1 d1 e2 f3 g2 g3 h3 g2 g1 f2 e3
9;520;c1 b1 a1 a2 a3 a4 a5 a6 b6 c6 c5 c4 d3 d2 d1 e2 f2 h2 e5 d4 e3 f3 e4 d5 e6 f6 g5 h6 g7 h8 g8 f7 e6 d7 c8 b7 d6 e8 c7 a8
10;10013;
